id,numbers,statistics,survey
118246252675,very familiar,very familiar,449855426
118248526710,not very familiar,not familiar,449855426
118248526857,very familiar,familiar,449855426
118248577928,familiar,familiar,449855426
118249067082,very familiar,very familiar,449855426
118249169744,not very familiar,not familiar,449855426
118249191442,familiar,familiar,449855426
118249225351,familiar,familiar,449855426
118249251454,familiar,very familiar,449855426
118258690061,familiar,not very familiar,450073612
118263511335,very familiar,familiar,450151700
118264559669,familiar,not very familiar,450151700
118267892739,familiar,familiar,450151700
118270946823,familiar,not very familiar,450151700
118297509148,familiar,familiar,450151700
118300652865,very familiar,familiar,450151700
118302292087,familiar,familiar,450151700
118303344527,not familiar,not very familiar,450872012
118303345427,familiar,familiar,450872012
118303346413,familiar,familiar,450872012
118303348380,familiar,familiar,450872012
118303348608,very familiar,familiar,450872012
118303348780,familiar,familiar,450872012
118303355620,familiar,familiar,450872012
118303368417,familiar,familiar,450872012
118303369316,familiar,familiar,450872012
118303375496,familiar,familiar,450872012
118303378932,familiar,familiar,450872012
118303417099,very familiar,very familiar,450872012
118303428662,familiar,familiar,450872012
118303433687,very familiar,very familiar,450872012
118303454200,not familiar,not very familiar,450872012
118303454522,familiar,very familiar,450872012
118303459660,familiar,familiar,450872012
118303488219,very familiar,familiar,450872012
118303496344,familiar,familiar,450872012
118303511791,familiar,familiar,450872012
118303712989,very familiar,familiar,450872012
118303771647,very familiar,familiar,450872012
118303871903,very familiar,not very familiar,450872012
118304155802,not very familiar,not familiar,450872012
118304161439,familiar,not very familiar,450872012
118304170782,very familiar,not very familiar,450872012
118304174898,very familiar,familiar,450872012
118304179643,very familiar,familiar,450872012
118304220221,very familiar,familiar,450872012
118304266031,familiar,familiar,450872012
118304335983,familiar,familiar,450872012
118305137727,familiar,familiar,450667910
118305138758,not very familiar,not familiar,450667910
118305139621,very familiar,very familiar,450667910
118305139768,familiar,not very familiar,450667910
118305140840,familiar,not very familiar,450667910
118305143091,very familiar,familiar,450667910
118305143092,very familiar,very familiar,450667910
118305143676,familiar,familiar,450667910
118305143815,familiar,not very familiar,450667910
118305144285,familiar,familiar,450667910
118305145705,not familiar,not very familiar,450667910
118305147172,familiar,familiar,450667910
118305148813,not very familiar,not very familiar,450667910
118305149695,familiar,not very familiar,450667910
118305149706,not very familiar,not very familiar,450667910
118305155839,familiar,not very familiar,450667910
118305163320,familiar,familiar,450667910
118305170096,very familiar,very familiar,450872012
118305173273,familiar,familiar,450667910
118305180447,very familiar,familiar,450667910
118305181599,very familiar,very familiar,450667910
118305183955,not very familiar,not familiar,450667910
118305187716,not very familiar,not very familiar,450667910
118305200396,very familiar,familiar,450667910
118305202668,familiar,not very familiar,450872012
118305203818,very familiar,very familiar,450667910
118305207407,familiar,not very familiar,450667910
118305226456,familiar,familiar,450667910
118305242383,very familiar,familiar,450667910
118305245044,very familiar,very familiar,450667910
118305255277,very familiar,very familiar,450667910
118305270478,familiar,not very familiar,450667910
118305323137,familiar,familiar,450667910
118305369432,very familiar,familiar,450667910
118305384690,very familiar,very familiar,450667910
118305396374,familiar,familiar,450667910
118305455349,very familiar,familiar,450667910
118305498335,very familiar,very familiar,450667910
118305545246,familiar,not familiar,450667910
118305638011,very familiar,familiar,450667910
118305688588,very familiar,familiar,450667910
118305847535,not very familiar,not familiar,450667910
118306074232,familiar,familiar,450872012
118306093495,very familiar,familiar,450872012
118306103077,familiar,not very familiar,450667910
118306104434,very familiar,familiar,450667910
118306109325,familiar,not very familiar,450667910
118306117526,very familiar,not very familiar,450872012
118306147485,familiar,familiar,450667910
118306154638,very familiar,very familiar,450667910
118306184050,not very familiar,not very familiar,450667910
118306258728,familiar,familiar,450667910
118306292390,familiar,familiar,450872012
118306342007,familiar,familiar,450667910
118306568786,familiar,familiar,450667910
118307148498,not very familiar,not very familiar,450667910
118308607939,familiar,familiar,450872012
118308618904,very familiar,familiar,450667910
118309638922,familiar,familiar,450872012
118310828804,familiar,not very familiar,450872012
118310848480,familiar,familiar,450872012
118310882271,familiar,familiar,450667910
118311876056,not very familiar,not very familiar,450667910
118312594613,familiar,not very familiar,450667910
118314335807,familiar,not familiar,450872012
118314823881,familiar,not very familiar,450667910
118316667053,not very familiar,not very familiar,450667910
118317754684,very familiar,very familiar,450872012
118320370733,very familiar,familiar,450872012
118325674575,very familiar,familiar,450667910
118328614031,very familiar,very familiar,451310552
118328651355,very familiar,very familiar,451310552
118328651513,very familiar,familiar,451310552
118328652299,very familiar,familiar,451310552
118328653718,familiar,familiar,451310552
118328657222,familiar,familiar,451310552
118329108685,familiar,familiar,451310552
118329505999,very familiar,familiar,451310552
118329511509,familiar,familiar,451310552
118331903786,very familiar,familiar,451310552
118331956120,not very familiar,not very familiar,451310670
118331973808,very familiar,very familiar,451310670
118333066099,very familiar,very familiar,451310670
118334261960,familiar,not very familiar,451310531
118334391101,very familiar,familiar,451310531
118335200400,familiar,not very familiar,451310531
118336960537,familiar,familiar,451310531
118338868043,familiar,familiar,451310552
118339966824,familiar,familiar,451504108
118339991268,familiar,not very familiar,451504108
118340035180,very familiar,very familiar,451504108
118340038205,familiar,familiar,451504108
118340042120,familiar,familiar,451504108
118340122822,familiar,familiar,451504108
118340220490,familiar,familiar,451504108
118341052602,very familiar,not very familiar,451504108
118342245149,familiar,familiar,451310670
118342662124,familiar,familiar,451504108
118342676831,familiar,familiar,451504108
118342739603,not very familiar,not very familiar,451504108
118342786933,very familiar,very familiar,451310531
118343038223,very familiar,familiar,451504108
118349273154,very familiar,familiar,451310670
118349352774,very familiar,familiar,451310670
118349445762,very familiar,familiar,451310670
118350150336,not very familiar,familiar,451310670
118350154129,very familiar,familiar,451310670
118351175530,very familiar,very familiar,451310670
118351314678,very familiar,familiar,451310670
118351333801,very familiar,familiar,451310670
118352117043,familiar,not very familiar,451504108
118352134458,very familiar,very familiar,451310670
118352154730,familiar,familiar,451310670
118353626025,very familiar,very familiar,451310670
